image_name,algo,share_interval,seed,fe_best,time_sec
94079.jpg,HYBRID-PA5,10,42,36.57800006982699,5.249468088150024
209070.jpg,HYBRID-PA5,10,42,36.57162989611275,4.894847869873047
274007.jpg,HYBRID-PA5,10,42,36.56478731825362,4.875550985336304
104022.jpg,HYBRID-PA5,10,42,36.562215602561146,5.086933851242065
108041.jpg,HYBRID-PA5,10,42,36.54746378012028,5.192087888717651
113009.jpg,HYBRID-PA5,10,42,36.54213815347258,5.235106945037842
173036.jpg,HYBRID-PA5,10,42,36.541281109555804,4.979888677597046
166081.jpg,HYBRID-PA5,10,42,36.52214579531274,4.917709827423096
368016.jpg,HYBRID-PA5,10,42,36.511960223539795,5.3524863719940186
189003.jpg,HYBRID-PA5,10,42,36.49664811993117,4.886547565460205
247085.jpg,HYBRID-PA5,10,42,36.470495285014515,4.9938249588012695
183087.jpg,HYBRID-PA5,10,42,36.45996933120747,4.886595010757446
187029.jpg,HYBRID-PA5,10,42,36.45307880312422,4.889622688293457
118035.jpg,HYBRID-PA5,10,42,36.42799351008118,5.359039306640625
138078.jpg,HYBRID-PA5,10,42,36.41146680568873,5.793794393539429
207056.jpg,HYBRID-PA5,10,42,36.38762277169893,4.866464376449585
227046.jpg,HYBRID-PA5,10,42,36.379235865917416,4.841037273406982
26031.jpg,HYBRID-PA5,10,42,36.378639674351476,4.893319368362427
236017.jpg,HYBRID-PA5,10,42,36.34917164756493,4.857487201690674
130034.jpg,HYBRID-PA5,10,42,36.324361902809365,5.640025854110718
374020.jpg,HYBRID-PA5,10,42,36.308084660131094,5.349737167358398
285036.jpg,HYBRID-PA5,10,42,36.28548756238493,5.205461263656616
103041.jpg,HYBRID-PA5,10,42,36.278030145361996,5.2650556564331055
100075.jpg,HYBRID-PA5,10,42,36.25943568816547,5.37258505821228
95006.jpg,HYBRID-PA5,10,42,36.242554352532615,5.0762550830841064
181091.jpg,HYBRID-PA5,10,42,36.222177995006696,4.958652496337891
59078.jpg,HYBRID-PA5,10,42,36.22149137169793,6.50995397567749
71046.jpg,HYBRID-PA5,10,42,36.20443787656733,5.183604001998901
105053.jpg,HYBRID-PA5,10,42,36.19911750274752,5.910835027694702
302003.jpg,HYBRID-PA5,10,42,36.16535662554203,4.871195077896118
286092.jpg,HYBRID-PA5,10,42,36.09838101576711,4.932977199554443
113016.jpg,HYBRID-PA5,10,42,36.085811087772164,5.151658535003662
271008.jpg,HYBRID-PA5,10,42,36.084763544986195,4.907963275909424
112082.jpg,HYBRID-PA5,10,42,36.063067792149546,5.155902862548828
157036.jpg,HYBRID-PA5,10,42,36.059231263532894,5.116934299468994
323016.jpg,HYBRID-PA5,10,42,36.04131587620734,5.128422021865845
232038.jpg,HYBRID-PA5,10,42,36.031727270918935,5.131415843963623
100098.jpg,HYBRID-PA5,10,42,36.023731560590285,5.1455628871917725
181079.jpg,HYBRID-PA5,10,42,36.01092547794244,4.915661334991455
317080.jpg,HYBRID-PA5,10,42,36.00126661804828,5.330122709274292
147021.jpg,HYBRID-PA5,10,42,35.973084979041616,5.173025131225586
310007.jpg,HYBRID-PA5,10,42,35.971515044943246,4.9134416580200195
254054.jpg,HYBRID-PA5,10,42,35.9506285159702,4.975743055343628
301007.jpg,HYBRID-PA5,10,42,35.93413544151337,4.943150758743286
293029.jpg,HYBRID-PA5,10,42,35.87385455805766,4.946157217025757
113044.jpg,HYBRID-PA5,10,42,35.87314828875536,5.291031122207642
2092.jpg,HYBRID-PA5,10,42,35.79306183204845,5.058133125305176
245051.jpg,HYBRID-PA5,10,42,35.74218964793304,4.947298288345337
254033.jpg,HYBRID-PA5,10,42,35.71771025386019,5.191344738006592
172032.jpg,HYBRID-PA5,10,42,35.709807398182505,5.027896881103516
246016.jpg,HYBRID-PA5,10,42,35.615670210267105,4.916254043579102
15088.jpg,HYBRID-PA5,10,42,35.604962819109886,5.219107389450073
106025.jpg,HYBRID-PA5,10,42,35.59126263822179,5.4393346309661865
109034.jpg,HYBRID-PA5,10,42,35.57258646017427,5.249659299850464
122048.jpg,HYBRID-PA5,10,42,35.54088734194749,6.4271461963653564
105019.jpg,HYBRID-PA5,10,42,35.520932802190025,5.1324143409729
253036.jpg,HYBRID-PA5,10,42,35.458584043696675,5.1382575035095215
249061.jpg,HYBRID-PA5,10,42,35.449611945001074,4.811556339263916
299091.jpg,HYBRID-PA5,10,42,35.435658107860256,4.953103303909302
187083.jpg,HYBRID-PA5,10,42,35.41857114295734,4.976919174194336
67079.jpg,HYBRID-PA5,10,42,35.37900747402694,5.0333380699157715
28096.jpg,HYBRID-PA5,10,42,35.30835609170312,5.100248575210571
260081.jpg,HYBRID-PA5,10,42,35.30257518839706,4.833118438720703
181018.jpg,HYBRID-PA5,10,42,35.15895569227888,4.96032977104187
183055.jpg,HYBRID-PA5,10,42,35.12860304062954,4.872352361679077
20008.jpg,HYBRID-PA5,10,42,35.004247914293956,4.9728546142578125
246053.jpg,HYBRID-PA5,10,42,34.989377646144064,4.911572694778442
188091.jpg,HYBRID-PA5,10,42,34.964728240774505,4.99130654335022
271031.jpg,HYBRID-PA5,10,42,34.82192525738852,4.95112943649292
126039.jpg,HYBRID-PA5,10,42,34.79802895551748,6.65716290473938
35070.jpg,HYBRID-PA5,10,42,34.73094523552978,4.984704256057739
35058.jpg,HYBRID-PA5,10,42,34.593282463346796,4.998371839523315
311068.jpg,HYBRID-PA5,10,42,34.540923257845606,4.997069358825684
135037.jpg,HYBRID-PA5,10,42,34.48066843775409,5.405645847320557
55067.jpg,HYBRID-PA5,10,42,34.14731120580107,5.242579936981201
60079.jpg,HYBRID-PA5,10,42,34.01378230597574,5.688542366027832
134008.jpg,HYBRID-PA5,10,42,33.93561074893135,5.34443473815918
135069.jpg,HYBRID-PA5,10,42,33.89984187500845,6.214547157287598
292066.jpg,HYBRID-PA5,10,42,33.80556375424791,5.030110836029053
80099.jpg,HYBRID-PA5,10,42,33.56792484729087,4.9847731590271
8049.jpg,HYBRID-PA5,10,42,33.44769345062114,5.038920879364014
