image_name,strategy,seed,share_interval,fe_best
19021.jpg,PA1,42,,0.048414677083218435
271035.jpg,PA3,42,,0.048406581683021345
16077.jpg,PA2,42,,0.0483922567998977
69015.jpg,PA1,42,,0.04838384846364765
42012.jpg,PA1,42,,0.048368923987319554
219090.jpg,PA1,42,,0.048357839505552926
219090.jpg,PA2,42,,0.048357329292798706
102061.jpg,PA2,42,,0.04833146901507795
145086.jpg,PA1,42,,0.04828410598188594
143090.jpg,PA3,42,,0.0482745678610561
102061.jpg,PA1,42,,0.04826421593329476
108005.jpg,PA1,42,,0.04825022721623078
216081.jpg,PA4,42,,0.04822624659394819
102061.jpg,PA3,42,,0.0482217328371224
143090.jpg,PA2,42,,0.04820129785553991
143090.jpg,PA4,42,,0.04819983024178365
108005.jpg,PA2,42,,0.048186647866620164
108005.jpg,PA5,42,7,0.048186647866620164
143090.jpg,PA1,42,,0.04816615194554167
160068.jpg,PA2,42,,0.04814827501006351
102061.jpg,PA4,42,,0.048116182180004415
78004.jpg,PA1,42,,0.04809740440990998
78004.jpg,PA4,42,,0.048050266274985896
69015.jpg,PA3,42,,0.04804387804582094
21077.jpg,PA1,42,,0.048037366680085625
167083.jpg,PA5,42,7,0.04802113216723036
21077.jpg,PA5,42,7,0.04801679413338681
208001.jpg,PA5,42,7,0.048009676511896394
21077.jpg,PA2,42,,0.0480055184104468
21077.jpg,PA4,42,,0.04799362678126716
66053.jpg,PA3,42,,0.04798297407996432
167083.jpg,PA2,42,,0.047979227259860625
69015.jpg,PA2,42,,0.047977656703820565
208001.jpg,PA3,42,,0.04795387733759278
208001.jpg,PA4,42,,0.04795328686396488
208001.jpg,PA1,42,,0.047947385187279416
108005.jpg,PA4,42,,0.04794082643139334
208001.jpg,PA2,42,,0.04793373244425256
106024.jpg,PA4,42,,0.047931929058917314
106024.jpg,PA5,42,7,0.047923560831441184
69015.jpg,PA5,42,7,0.04788837382710445
66053.jpg,PA4,42,,0.04788287634712006
66053.jpg,PA1,42,,0.047879687421680237
106024.jpg,PA2,42,,0.04787810167506065
106024.jpg,PA1,42,,0.04782529353352004
21077.jpg,PA3,42,,0.04778284107952077
85048.jpg,PA5,42,7,0.04771117645719034
85048.jpg,PA4,42,,0.04770317493105093
156065.jpg,PA1,42,,0.047700819409942176
106024.jpg,PA3,42,,0.047695962318782786
260058.jpg,PA3,42,,0.047670208585799165
260058.jpg,PA5,42,7,0.04766993514126945
69015.jpg,PA4,42,,0.04766739953747247
304074.jpg,PA4,42,,0.04764249889439459
304074.jpg,PA5,42,7,0.04763390479100296
304074.jpg,PA3,42,,0.04759593718125692
304074.jpg,PA1,42,,0.04758723351639442
76053.jpg,PA1,42,,0.047559962910428036
76053.jpg,PA3,42,,0.047559962910428036
76053.jpg,PA4,42,,0.047559962910428036
76053.jpg,PA5,42,7,0.047559962910428036
69040.jpg,PA5,42,7,0.04753581221190665
69040.jpg,PA1,42,,0.04750565553549331
76053.jpg,PA2,42,,0.04749860159322539
65033.jpg,PA3,42,,0.047445108796080236
65033.jpg,PA5,42,7,0.04744130586652696
69040.jpg,PA4,42,,0.04743326434896317
69040.jpg,PA2,42,,0.04740722562000854
85048.jpg,PA1,42,,0.047405048398049654
163085.jpg,PA5,42,7,0.047368757927885655
220075.jpg,PA4,42,,0.0473627458798368
85048.jpg,PA2,42,,0.04735485660545842
163085.jpg,PA4,42,,0.047338528970453576
69040.jpg,PA3,42,,0.047337710298316835
148089.jpg,PA5,42,7,0.04732212095303581
109053.jpg,PA4,42,,0.04732014639413071
109053.jpg,PA1,42,,0.0473151206789198
109053.jpg,PA5,42,7,0.0473151206789198
220075.jpg,PA2,42,,0.04731444889781275
163085.jpg,PA1,42,,0.04730823652967761
163085.jpg,PA2,42,,0.0473012836026369
109053.jpg,PA2,42,,0.04729509077520354
163085.jpg,PA3,42,,0.04728627574440454
103070.jpg,PA5,42,7,0.047280691750726835
220075.jpg,PA3,42,,0.047277487783697586
103070.jpg,PA3,42,,0.0472764468244877
103070.jpg,PA2,42,,0.04727275024336996
103070.jpg,PA1,42,,0.047270338888647456
42012.jpg,PA3,42,,0.04725634733927213
103070.jpg,PA4,42,,0.047245319688765886
220075.jpg,PA1,42,,0.04723329792538004
85048.jpg,PA3,42,,0.04721023482318276
65033.jpg,PA2,42,,0.04712278831127499
156065.jpg,PA4,42,,0.047121337716483705
65033.jpg,PA4,42,,0.047115361191814455
156065.jpg,PA2,42,,0.04711353405374123
156065.jpg,PA5,42,7,0.04710801268653968
65033.jpg,PA1,42,,0.047086243633286506
175032.jpg,PA5,42,7,0.0470848810620154
175032.jpg,PA1,42,,0.04707402843918945
175032.jpg,PA2,42,,0.04706531370427493
175032.jpg,PA4,42,,0.04706531370427493
41069.jpg,PA5,42,7,0.047058099754460195
41069.jpg,PA1,42,,0.047046605451178586
41069.jpg,PA2,42,,0.047046605451178586
41069.jpg,PA3,42,,0.047046605451178586
41069.jpg,PA4,42,,0.047046605451178586
175032.jpg,PA3,42,,0.04704325909711013
156065.jpg,PA3,42,,0.046991321018046
109053.jpg,PA3,42,,0.046980106850326386
170057.jpg,PA3,42,,0.04697418802824966
170057.jpg,PA5,42,7,0.046973413806237777
170057.jpg,PA1,42,,0.04696996532829503
304034.jpg,PA1,42,,0.046925990098527534
167083.jpg,PA3,42,,0.04691668952062163
167083.jpg,PA4,42,,0.046912942338023005
123074.jpg,PA1,42,,0.046890535431789296
123074.jpg,PA2,42,,0.046890535431789296
123074.jpg,PA5,42,7,0.04688374375969748
170057.jpg,PA4,42,,0.04687334437775388
170057.jpg,PA2,42,,0.04686254479559439
42012.jpg,PA4,42,,0.046859192011088104
123074.jpg,PA3,42,,0.04685301422023224
123074.jpg,PA4,42,,0.04685181681701559
148089.jpg,PA3,42,,0.04685036419639545
304034.jpg,PA5,42,7,0.04682320331481088
148089.jpg,PA4,42,,0.04680601250284916
101085.jpg,PA5,42,7,0.04679389412429796
304034.jpg,PA4,42,,0.04676228583835549
376043.jpg,PA5,42,7,0.04673534939781222
223061.jpg,PA3,42,,0.04672701730795172
376043.jpg,PA4,42,,0.046723440789018425
97033.jpg,PA5,42,7,0.04672026571023359
376043.jpg,PA2,42,,0.046718951522883294
376043.jpg,PA1,42,,0.04671520238880354
167083.jpg,PA1,42,,0.046708186434277064
175043.jpg,PA4,42,,0.04667574536795852
376043.jpg,PA3,42,,0.04664943377759233
175043.jpg,PA5,42,7,0.04664589496056618
175043.jpg,PA1,42,,0.04664325022447384
175043.jpg,PA3,42,,0.04661903221216999
175043.jpg,PA2,42,,0.04660686477877303
97033.jpg,PA3,42,,0.046587981942139464
87046.jpg,PA3,42,,0.04658547864332446
86016.jpg,PA2,42,,0.04657978172256505
304034.jpg,PA2,42,,0.046574710406635
87046.jpg,PA4,42,,0.04652431474896833
229036.jpg,PA3,42,,0.04652264629367832
97033.jpg,PA2,42,,0.04651798514896503
38082.jpg,PA5,42,7,0.046491371451371846
236037.jpg,PA3,42,,0.04649053190060502
101085.jpg,PA1,42,,0.046487177340757926
38082.jpg,PA3,42,,0.04647184177020236
38082.jpg,PA1,42,,0.046457786731780255
38082.jpg,PA2,42,,0.04644205954745341
101085.jpg,PA3,42,,0.04643714450326844
38082.jpg,PA4,42,,0.04642203216840715
87046.jpg,PA5,42,7,0.04641918006017452
101085.jpg,PA4,42,,0.04640543405913038
87046.jpg,PA1,42,,0.046404097995128235
229036.jpg,PA1,42,,0.04636025089150844
229036.jpg,PA4,42,,0.04635906410736858
304034.jpg,PA3,42,,0.046347680041818634
108005.jpg,PA3,42,,0.04633222158065513
229036.jpg,PA2,42,,0.04632944416493153
236037.jpg,PA5,42,7,0.04632207701833363
229036.jpg,PA5,42,7,0.046319333771587645
236037.jpg,PA2,42,,0.04631451099002633
101085.jpg,PA2,42,,0.04631130714783076
236037.jpg,PA4,42,,0.04630946336596135
33039.jpg,PA2,42,,0.046294267887388794
236037.jpg,PA1,42,,0.04628532303183075
86016.jpg,PA3,42,,0.0462727229014232
241004.jpg,PA2,42,,0.04622690512910354
33039.jpg,PA5,42,7,0.046151612221140774
87046.jpg,PA2,42,,0.04614801058159269
291000.jpg,PA2,42,,0.04614523968434606
33039.jpg,PA3,42,,0.046114913306641046
253055.jpg,PA5,42,7,0.046090866608052464
97033.jpg,PA1,42,,0.04601865462341641
33039.jpg,PA1,42,,0.04595512382472655
241004.jpg,PA4,42,,0.0459542488276663
241004.jpg,PA5,42,7,0.04593755344237812
291000.jpg,PA4,42,,0.04587931924980787
33039.jpg,PA4,42,,0.04585410373076659
291000.jpg,PA1,42,,0.04578210358540309
24077.jpg,PA1,42,,0.04566927896390828
291000.jpg,PA5,42,7,0.045647021041764
291000.jpg,PA3,42,,0.0455989057550361
24077.jpg,PA2,42,,0.04555753510336773
241004.jpg,PA3,42,,0.04555384467789592
253055.jpg,PA3,42,,0.045518812571555683
253055.jpg,PA4,42,,0.045380367317111474
97033.jpg,PA4,42,,0.04514615391571089
241004.jpg,PA1,42,,0.04508310297273714
167062.jpg,PA5,42,7,0.044653718121905814
