image_index,image_name,image_path,strategy,k,n_agents,n_iters,seed,woa_b,share_interval,fe_best,time_sec,thresholds,jitter_fe_original,jitter_fe_mean,jitter_fe_std,jitter_fe_min,jitter_fe_max,conv_fe_first,conv_fe_last,conv_fe_last_mean,conv_fe_last_std,conv_fe_improvement
8,108082.jpg,dataset/BDS500/images/val\108082.jpg,PA5,10,30,100,42,1.0,6,0.05125743282270116,5.284473419189453,"8,237,241,243,244,246,247,250,251,254",0.05125743282270116,0.051052112701126307,9.291017589050778e-05,0.05091159416500222,0.05125743282270116,0.049756707260423444,0.05125743282270116,0.05124299185151667,9.530661927886945e-06,0.0015007255622777188
9,109053.jpg,dataset/BDS500/images/val\109053.jpg,PA1,10,30,100,42,1.0,6,0.0473151206789198,2.6617958545684814,"1,2,3,4,5,6,7,76,251,252",0.0473151206789198,0.04725173609115398,2.3157429735167087e-05,0.04719955691592345,0.0473151206789198,0.04592221869685905,0.0473151206789198,0.0473151206789198,0.0,0.0013929019820607472
9,109053.jpg,dataset/BDS500/images/val\109053.jpg,PA2,10,30,100,42,1.0,6,0.04729509077520354,2.832963705062866,"1,2,82,248,249,250,251,252,253,254",0.04729509077520354,0.04726124397944093,2.4556677294660704e-05,0.04721318447689724,0.04729509077520354,0.04592221869685905,0.04729509077520354,0.04729509077520354,0.0,0.0013728720783444878
9,109053.jpg,dataset/BDS500/images/val\109053.jpg,PA3,10,30,100,42,1.0,6,0.046980106850326386,2.8667244911193848,"21,62,241,242,245,248,249,252,253,254",0.046980106850326386,0.04693282164153551,2.7653690140497292e-05,0.04688479016172332,0.046980106850326386,0.04592221869685905,0.046980106850326386,0.046972847991812484,8.917095367984685e-06,0.001057888153467336
9,109053.jpg,dataset/BDS500/images/val\109053.jpg,PA4,10,30,100,42,1.0,6,0.04732014639413071,2.9208498001098633,"1,2,3,4,5,6,77,250,251,254",0.04732014639413071,0.04725778706073328,2.642048885696483e-05,0.04720124815760574,0.04732014639413071,0.04592221869685905,0.04732014639413071,0.047320146394130715,6.938893903907228e-18,0.0013979276972716573
9,109053.jpg,dataset/BDS500/images/val\109053.jpg,PA5,10,30,100,42,1.0,6,0.0473151206789198,5.784860849380493,"1,2,3,4,5,6,7,76,251,252",0.0473151206789198,0.04725173609115398,2.3157429735167087e-05,0.04719955691592345,0.0473151206789198,0.046366467778912915,0.0473151206789198,0.0473151206789198,0.0,0.0009486529000068827
10,119082.jpg,dataset/BDS500/images/val\119082.jpg,PA1,10,30,100,42,1.0,6,0.04849674548499785,3.088698148727417,"64,75,76,83,88,107,116,123,206,252",0.04849674548499785,0.0480702017579454,0.00015461219898392896,0.04777378693982938,0.04849674548499785,0.046960777115064814,0.04849674548499785,0.048494359429757355,1.1930276202443136e-06,0.0015359683699330343
10,119082.jpg,dataset/BDS500/images/val\119082.jpg,PA2,10,30,100,42,1.0,6,0.049035626806191765,2.9556174278259277,"1,168,245,246,249,250,251,252,253,254",0.049035626806191765,0.04877216625338697,0.00016824689635524604,0.04853808880911776,0.049035626806191765,0.04772916720081001,0.049035626806191765,0.049035626806191765,0.0,0.0013064596053817545
10,119082.jpg,dataset/BDS500/images/val\119082.jpg,PA3,10,30,100,42,1.0,6,0.04902003368121294,2.629551410675049,"68,73,76,77,80,92,93,96,150,252",0.04902003368121294,0.048469173443473956,0.00023137280646479353,0.047958130261596114,0.04902003368121294,0.046960777115064814,0.04902003368121294,0.04893274271888829,6.564247989869086e-05,0.002059256566148124
10,119082.jpg,dataset/BDS500/images/val\119082.jpg,PA4,10,30,100,42,1.0,6,0.04966573143576003,2.644948720932007,"70,71,74,75,78,83,237,250,251,254",0.04966573143576003,0.049025330682664736,0.00031030540022960773,0.04821510738907593,0.04966573143576003,0.04772916720081001,0.04966573143576003,0.04954608988806454,7.449724341701573e-05,0.0019365642349500195
10,119082.jpg,dataset/BDS500/images/val\119082.jpg,PA5,10,30,100,42,1.0,6,0.04917622112350439,5.442401170730591,"2,3,76,162,245,246,249,250,251,254",0.04917622112350439,0.04904445653984058,0.00013609500276845398,0.04873639767288268,0.0492614831986144,0.04704190964784872,0.04917622112350439,0.049105090491635084,4.262025705992015e-05,0.0021343114756556744
11,12084.jpg,dataset/BDS500/images/val\12084.jpg,PA1,10,30,100,42,1.0,6,0.04870257210530843,2.992922782897949,"1,3,4,5,6,7,8,111,253,254",0.04870257210530843,0.04858725510470631,6.60141437075464e-05,0.04842356458255295,0.04870257210530843,0.04623875043166888,0.04870257210530843,0.04870257210530843,0.0,0.002463821673639545
11,12084.jpg,dataset/BDS500/images/val\12084.jpg,PA2,10,30,100,42,1.0,6,0.0487143091016594,2.86069393157959,"1,2,3,4,5,6,7,8,111,254",0.0487143091016594,0.04859878742894274,7.066273268044268e-05,0.04844858908653197,0.0487143091016594,0.047131125190378945,0.0487143091016594,0.0487143091016594,0.0,0.0015831839112804558
11,12084.jpg,dataset/BDS500/images/val\12084.jpg,PA3,10,30,100,42,1.0,6,0.04880458273354506,2.879798412322998,"1,2,3,4,5,116,251,252,253,254",0.04880458273354506,0.04866962855151586,8.129890780110787e-05,0.048526735939804395,0.04880458273354506,0.04623875043166888,0.04880458273354506,0.04880458273354506,0.0,0.002565832301876174
